"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P784S4A2","P784S4A3","P784S4A4","LLAVEHOG","FEX_C"
6010508,1,1,1,"DISCAPACIDAD VISUAL",1,480000,"60105081",3344.91937077597
6010682,1,1,1,"JOVENES EN ACCION",1,1200000,"60106821",142.458770219712
6010811,1,1,1,"UNIDAD PARA LAS VICTIMAS",2,1000000,"60108111",677.308054850115
6010813,1,1,1,"UNIDAD PARA LAS VICTIMAS",1,308000,"60108131",461.516821377819
6010829,1,1,1,"AYUDA HUMANITARIA",1,600000,"60108291",681.514130454622
6010985,1,1,1,"AYUDA HUMANITARIA",1,240000,"60109851",326.396949202839
6011064,1,1,1,"JOVENES EN ACCION",1,800000,"60110641",473.9205471656
6011097,1,1,1,"DESPLAZADOS POR LA VIOLENCIA",1,750000,"60110971",1173.86547033256
6011105,1,1,1,"DESPLAZADOS POR LA VIOLENCIA",1,1786000,"60111051",1173.32109735573
6011116,1,1,1,"DESPLAZAMIENTO FORZADO",1,430000,"60111161",726.432000956082
6011121,1,1,1,"DESPLAZAMIENTO FORZADO",1,1200000,"60111211",604.751605281702
6011125,1,1,1,"DESPLAZAMIENTO FORZADO",1,300000,"60111251",2022.29878237294
6011139,1,1,1,"VICTIMAS POR DESPLAZAMIENTO",1,2290000,"60111391",1483.92151263924
6011370,1,1,1,"SUBSIDIO DE DESEMPLEO",1,600000,"60113701",477.413355667295
6011604,1,1,1,"DESPLAZADOS POR LA VIOLENCIA",1,800000,"60116041",716.624201651895
6011605,1,1,1,"DESPLAZADOS POR LA VIOLENCIA",1,250000,"60116051",1036.41363246158
6012067,1,1,1,"MERCADO POR DISCAPACIDAD",1,3000000,"60120671",2104.54284165134
6012100,1,1,1,"SER PILO PAGA",1,8000000,"60121001",3068.32823408407
6012106,1,1,1,"SUBSIDIO ESCOLAR DE TRANSPORTE",1,1680000,"60121061",3276.94048285003
6012160,1,1,1,"DESPLAZAMIENTO FORZOSO",4,250000,"60121601",2689.91740455974
6012325,1,1,1,"BANCO DE ALIMENTOS",1,30000,"60123251",189.939453729655
6012331,1,1,1,"FAMILIAS EN ACCION",1,140000,"60123311",185.788253323538
6012840,1,1,1,"AYUDA HUMANITARIA",1,700000,"60128401",376.316871432614
6012845,1,1,1,"DESPLAZADOS",3,923000,"60128451",89.0169223449122
6012846,1,1,1,"AYUDA HUMANITARIA",1,800000,"60128461",256.398662612298
6012853,1,1,1,"DESPLAZAMIENTO",6,1100000,"60128531",132.923762901356
6012857,1,1,1,"DESPLAZADOS",4,616000,"60128571",254.675917871774
6012858,1,1,1,"AYUDA HUMANITARIA",1,250000,"60128581",158.098007238595
6012859,1,1,1,"AYUDA HUMANITARIA",1,270000,"60128591",120.895985911961
6012862,1,1,1,"AYUDA HUMANITARIA",1,500000,"60128621",196.146546459162
6012878,1,1,1,"DESPLAZADOS",1,360000,"60128781",563.881215113285
6012879,1,1,1,"DESPLAZADOS",1,800000,"60128791",422.173453547215
6012880,1,1,1,"DESPLAZADOS",1,270000,"60128801",355.551259231952
6012909,1,1,1,"DESPLAZADOS",2,500000,"60129091",279.304742589529
6012921,1,1,1,"DESPLASADOS",4,330000,"60129211",268.142332665487
6012922,1,1,1,"DESPLASADOS",1,240000,"60129221",613.14474237951
6012922,2,1,2,"MADRE FAMI",1,160000,"60129221",613.14474237951
6012924,1,1,1,"DESPLASADOS",1,270000,"60129241",831.781620517912
6012926,1,1,1,"AYUDA HUMANITARIA",4,711000,"60129261",268.142332665487
6012942,1,1,1,"DESPLAZADOS",2,350000,"60129421",478.367459026826
6012945,1,1,1,"DESPLASADOS",5,654000,"60129451",513.528611676538
6012951,1,1,1,"DESPLASADOS",3,764000,"60129511",268.142332665487
6012954,1,1,1,"MADRES FAMI",1,140000,"60129541",185.509606564215
6012957,1,1,1,"DESPLASADOS",1,600000,"60129571",674.137489212071
6012968,1,1,1,"DESPLAZADOS",1,900000,"60129681",478.367459026826
6012978,1,1,1,"DESPLAZADOS",1,300000,"60129781",353.420074596246
6012982,1,1,1,"DESPLAZADOS",1,250000,"60129821",404.733174864048
6012993,1,1,1,"MADRES FAMI",1,100000,"60129931",268.142332665487
6013082,1,1,1,"AYUDA HUMANITARIA",1,2000000,"60130821",319.382689344474
6013093,1,1,1,"AYUDA HUMANITARIA",1,97000,"60130931",309.018014123581
6013094,1,1,1,"VICTIMAS",1,500000,"60130941",445.816317601118
6013103,1,1,1,"PROGRAMA MUNDIAL DE ALIMENTOS",1,1200000,"60131031",356.507301428651
6013269,1,1,1,"DEZPLAZADOS",1,840000,"60132691",391.513188688758
6013336,1,1,1,"DESPLAZADO",1,700000,"60133361",1154.75469919728
6013449,1,1,1,"AYUDA HUMANITARIA",1,1130000,"60134491",458.533261220599
6013451,1,1,1,"DESPLAZADOS",1,240000,"60134511",466.149461729216
6013452,1,1,1,"AYUDA HUMANITARIA",1,700000,"60134521",429.605170645646
6013537,1,1,1,"DESPLAZADOS",1,790000,"60135371",3407.96640111834
6013552,1,1,1,"SUBSIDIO POR DESPLAZAMIENTO",1,226000,"60135521",1021.36107261795
6013553,1,1,1,"DESPLAZADOS POR LA VIOLENCIA",1,500000,"60135531",339.335134666105
6013557,1,1,1,"DESPLAZADOS POR LA VIOLENCIA",1,1800000,"60135571",659.777437180356
6013564,1,1,1,"DESPLAZADOS POR LA VIOLENCIA",1,2200000,"60135641",339.335134666105
6013681,1,1,1,"NICOLL CASTRO",1,550000,"60136811",1584.83106067195
6013701,1,1,1,"VICTIMIZACION",1,320000,"60137011",1473.36392511778
6013817,1,1,1,"VICTIMAS",1,600000,"60138171",3344.91937077597
6013851,1,1,1,"AYUDA HUMANITARIA DPS",2,700000,"60138511",142.702262743733
6013990,1,1,1,"AYUDA HUMANITARIA",2,500000,"60139901",871.570541543977
6014152,1,1,1,"CRECIMIENTO Y DESARROLLO",1,300000,"60141521",91.8262805690013
6014450,1,1,1,"DESPLAZADO",3,220000,"60144501",217.329738028677
6014529,1,1,1,"AYUDA HUMANITARIA",1,900000,"60145291",243.901126563497
