"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P8692S3A1","LLAVEHOG","FEX_C"
6001940,1,1,1,1,"60019401",1984.06670402308
6001940,2,1,2,2,"60019401",1984.06670402308
6001945,1,1,1,1,"60019451",1557.0731994065
6001945,2,1,2,2,"60019451",1557.0731994065
6001965,1,1,1,1,"60019651",2238.89247626837
6001965,2,1,2,2,"60019651",2238.89247626837
6001983,1,1,1,1,"60019831",366.094039881303
6001983,2,1,2,2,"60019831",366.094039881303
6001987,2,1,2,2,"60019871",369.166675358283
6001987,1,1,1,1,"60019871",369.166675358283
6002030,1,1,1,1,"60020301",2732.11053676786
6002030,2,1,2,2,"60020301",2732.11053676786
6002035,1,1,1,1,"60020351",2062.46121685551
6002035,2,1,2,2,"60020351",2062.46121685551
6002101,1,1,1,1,"60021011",422.702163285992
6002101,2,1,2,2,"60021011",422.702163285992
6002114,1,1,1,1,"60021141",317.138347173673
6002114,2,1,2,2,"60021141",317.138347173673
6002114,3,1,3,3,"60021141",317.138347173673
6002124,1,1,1,1,"60021241",229.107798219042
6002124,2,1,2,2,"60021241",229.107798219042
6002127,1,1,1,1,"60021271",489.98679061397
6002127,2,1,2,2,"60021271",489.98679061397
6002141,1,1,1,1,"60021411",797.517145711414
6002141,2,1,2,2,"60021411",797.517145711414
6002144,1,1,1,1,"60021441",283.909184515516
6002144,2,1,2,2,"60021441",283.909184515516
6002144,3,1,3,3,"60021441",283.909184515516
6002144,4,1,4,4,"60021441",283.909184515516
6002145,1,1,1,1,"60021451",418.771514648437
6002145,2,1,2,2,"60021451",418.771514648437
6002166,1,1,1,1,"60021661",2796.70972530835
6002166,2,1,2,2,"60021661",2796.70972530835
6002176,1,1,1,1,"60021761",372.917357110004
6002176,2,1,2,2,"60021761",372.917357110004
6002181,1,1,1,1,"60021811",768.593299944781
6002181,2,1,2,2,"60021811",768.593299944781
6002187,1,1,1,1,"60021871",499.184849851468
6002187,2,1,2,2,"60021871",499.184849851468
6002189,1,1,1,1,"60021891",486.851869936419
6002189,2,1,2,2,"60021891",486.851869936419
6002194,1,1,1,1,"60021941",372.917357110004
6002194,2,1,2,2,"60021941",372.917357110004
6002207,1,1,1,1,"60022071",606.599444683798
6002207,2,1,2,2,"60022071",606.599444683798
6002210,1,1,1,1,"60022101",372.917357110004
6002210,2,1,2,2,"60022101",372.917357110004
6002214,1,1,1,1,"60022141",450.6550107503
6002214,2,1,2,2,"60022141",450.6550107503
6002242,1,1,1,2,"60022421",571.756723100343
6002242,2,1,2,3,"60022421",571.756723100343
6002254,1,1,1,1,"60022541",397.020105153087
6002254,2,1,2,2,"60022541",397.020105153087
6002283,1,1,1,1,"60022831",313.58799905397
6002283,2,1,2,2,"60022831",313.58799905397
6002291,1,1,1,1,"60022911",434.756969927712
6002291,2,1,2,2,"60022911",434.756969927712
6002299,1,1,1,1,"60022991",547.953299166788
6002299,2,1,2,2,"60022991",547.953299166788
6002316,1,1,1,1,"60023161",345.918467209445
6002316,2,1,2,2,"60023161",345.918467209445
6002326,1,1,1,1,"60023261",220.402070958636
6002326,2,1,2,2,"60023261",220.402070958636
6002331,1,1,1,1,"60023311",204.542300820486
6002331,2,1,2,2,"60023311",204.542300820486
6002340,1,1,1,1,"60023401",316.659961798076
6002340,2,1,2,2,"60023401",316.659961798076
6002348,1,1,1,1,"60023481",530.362037327278
6002348,2,1,2,2,"60023481",530.362037327278
6002360,1,1,1,1,"60023601",741.027377277561
6002360,2,1,2,2,"60023601",741.027377277561
6002364,1,1,1,1,"60023641",422.866594175552
6002364,2,1,2,2,"60023641",422.866594175552
6002364,3,1,3,3,"60023641",422.866594175552
6002364,4,1,4,4,"60023641",422.866594175552
6002370,1,1,1,1,"60023701",174.501852283037
6002370,2,1,2,2,"60023701",174.501852283037
6002397,1,1,1,1,"60023971",195.627825811483
6002397,2,1,2,2,"60023971",195.627825811483
6002407,1,1,1,1,"60024071",566.17943508292
6002407,2,1,2,2,"60024071",566.17943508292
6002414,1,1,1,1,"60024141",331.791866222001
6002414,2,1,2,2,"60024141",331.791866222001
6002429,1,1,1,1,"60024291",106.793644693854
6002429,2,1,2,2,"60024291",106.793644693854
6002457,1,1,1,1,"60024571",684.749828100177
6002457,2,1,2,2,"60024571",684.749828100177
6002463,1,1,1,2,"60024631",343.609671871827
6002463,2,1,2,3,"60024631",343.609671871827
6002463,3,1,3,4,"60024631",343.609671871827
6002469,1,1,1,1,"60024691",775.256335178196
6002469,2,1,2,2,"60024691",775.256335178196
6002476,1,1,1,1,"60024761",359.474216213966
6002476,2,1,2,2,"60024761",359.474216213966
6002481,1,1,1,1,"60024811",283.93222083946
6002481,2,1,2,2,"60024811",283.93222083946
6002500,1,1,1,1,"60025001",563.034099075658
6002500,2,1,2,2,"60025001",563.034099075658
6002503,1,1,1,1,"60025031",330.867086587959
6002503,2,1,2,2,"60025031",330.867086587959
6002510,1,1,1,1,"60025101",654.688156863762
6002510,2,1,2,2,"60025101",654.688156863762
6002524,1,1,1,1,"60025241",566.820562911515
6002524,2,1,2,2,"60025241",566.820562911515
6002570,1,1,1,1,"60025701",690.706089086318
6002570,2,1,2,2,"60025701",690.706089086318
6002593,1,1,1,1,"60025931",356.248863840684
6002593,2,1,2,2,"60025931",356.248863840684
6002612,1,1,1,2,"60026121",650.158548650447
6002612,2,1,2,1,"60026121",650.158548650447
6002614,1,1,1,1,"60026141",1015.46503243164
6002614,2,1,2,2,"60026141",1015.46503243164
